,name,player_y,dt,minutes,slug
49288,Tyler Dorsey,Tyler Dorsey,2017-10-20,2.6,dorsety01
49120,D.J. Wilson,D.J. Wilson,2017-10-20,1.2333333333333334,wilsodj01
6617,Channing Frye,Channing Frye,2017-10-20,1.2333333333333334,fryech01
28013,Alex Len,Alex Len,2017-10-20,21.183333333333334,lenal01
28282,CJ McCollum,C.J. McCollum,2017-10-20,32.28333333333333,mccolcj01
48683,Gian Clavell,Gian Clavell,2017-10-20,9.966666666666667,clavegi01
48842,Josh Hart,Josh Hart,2017-10-20,2.3333333333333335,hartjo01
48828,Ike Anigbogu,Ike Anigbogu,2017-10-20,2.4,anigbik01
10131,Arron Afflalo,Arron Afflalo,2017-10-20,14.916666666666666,afflaar01
23526,Zach Randolph,Zach Randolph,2017-10-20,30.316666666666666,randoza01
39474,Nicolás Brussino,Nicolas Brussino,2017-10-20,2.6,brussni01
