player,pos,salary,date
Gary Harris,SG,6000,2018-02-27
Zach Randolph,PF/C,5900,2018-02-27
DeMarre Carroll,SF/PF,5800,2018-02-27
Tomas Satoransky,PG/SG,5800,2018-02-27
Lauri Markkanen,PF,5700,2018-02-27
Austin Rivers,PG/SG,5600,2018-02-27
Rondae Hollis-Jefferson,SF/PF,5600,2018-02-27
Bogdan Bogdanovic,SG/SF,5500,2018-02-27
Allen Crabbe,SG/SF,5400,2018-02-27
De'Aaron Fox,PG,5400,2018-02-27
Buddy Hield,SG/SF,5300,2018-02-27
Paul Millsap,PF/C,5200,2018-02-27
Wilson Chandler,SF/PF,5200,2018-02-27
Larry Nance Jr.,PF/C,5200,2018-02-27
Josh Richardson,SG/SF,5200,2018-02-27
David Nwaba,SG/SF,5200,2018-02-27
Al-Farouq Aminu,SF/PF,5100,2018-02-27
Tyler Johnson,PG/SG,5100,2018-02-27
J.J. Redick,SG/SF,5000,2018-02-27
Robert Covington,SF/PF,4900,2018-02-27
Markieff Morris,SF/PF,4900,2018-02-27
Marcin Gortat,C,4900,2018-02-27
Kelly Olynyk,PF/C,4900,2018-02-27
James Johnson,SF/PF,4900,2018-02-27
Justin Holiday,SG/SF,4800,2018-02-27
Kelly Oubre Jr.,SG/SF,4800,2018-02-27
Malcolm Brogdon,PG/SG,4800,2018-02-27
Jordan Clarkson,PG/SG,4700,2018-02-27
John Henson,C,4700,2018-02-27
Jarrett Allen,PF/C,4700,2018-02-27
George Hill,PG/SG,4600,2018-02-27
Skal Labissiere,PF/C,4600,2018-02-27
Tristan Thompson,PF/C,4500,2018-02-27
Jeremy Lamb,SG/SF,4500,2018-02-27
Bam Adebayo,PF/C,4500,2018-02-27
Shabazz Napier,PG/SG,4400,2018-02-27
Frank Kaminsky,PF/C,4400,2018-02-27
Trey Lyles,SF/PF,4400,2018-02-27
Dwyane Wade,PG/SG,4300,2018-02-27
Jabari Parker,SF/PF,4300,2018-02-27
Rodney Hood,SG/SF,4300,2018-02-27
Montrezl Harrell,PF/C,4300,2018-02-27
Avery Bradley,PG/SG,4200,2018-02-27
J.R. Smith,SG/SF,4200,2018-02-27
Mason Plumlee,PF/C,4200,2018-02-27
Caris LeVert,SG/SF,4200,2018-02-27
Denzel Valentine,SG/SF,4200,2018-02-27
Milos Teodosic,PG/SG,4200,2018-02-27
Ed Davis,PF/C,4100,2018-02-27
Justise Winslow,SF/PF,4100,2018-02-27
T.J. McConnell,PG,4100,2018-02-27
Wayne Ellington,SG/SF,4000,2018-02-27
