,p1,p2,p3,team,date,venue
182,duranke01,westbru01,ibakase01,Team.OKLAHOMA_CITY_THUNDER,1/13/16,Location.HOME
183,cunnida01,holidjr01,davisan02,Team.NEW_ORLEANS_PELICANS,1/13/16,Location.AWAY
184,haywago01,hoodro01,goberru01,Team.UTAH_JAZZ,1/13/16,Location.AWAY
185,georgpa01,ellismo01,hillge01,Team.INDIANA_PACERS,1/13/16,Location.AWAY
186,paulch01,crawfja01,redicjj01,Team.LOS_ANGELES_CLIPPERS,1/13/16,Location.HOME
187,lopezbr01,youngth01,bogdabo02,Team.BROOKLYN_NETS,1/13/16,Location.HOME
188,antetgi01,parkeja01,middlkh01,Team.MILWAUKEE_BUCKS,1/13/16,Location.AWAY
189,harriga01,mudiaem01,bartowi01,Team.DENVER_NUGGETS,1/13/16,Location.HOME
190,hardeja01,arizatr01,howardw01,Team.HOUSTON_ROCKETS,1/13/16,Location.HOME
191,wiggian01,townska01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/13/16,Location.AWAY
192,thomais02,turneev01,bradlav01,Team.BOSTON_CELTICS,1/13/16,Location.HOME
193,horfoal01,millspa01,korveky01,Team.ATLANTA_HAWKS,1/13/16,Location.AWAY
194,lillada01,mccolcj01,aminual01,Team.PORTLAND_TRAIL_BLAZERS,1/13/16,Location.HOME
195,butleji01,noahjo01,gibsota01,Team.CHICAGO_BULLS,1/14/16,Location.AWAY
196,smithis01,thompho01,covinro01,Team.PHILADELPHIA_76ERS,1/14/16,Location.HOME
197,oladivi01,harrito02,vucevni01,Team.ORLANDO_MAGIC,1/14/16,Location.HOME
198,clarkjo01,randlju01,russeda01,Team.LOS_ANGELES_LAKERS,1/14/16,Location.AWAY
199,lowryky01,derozde01,pattepa01,Team.TORONTO_RAPTORS,1/14/16,Location.AWAY
200,greendr01,thompkl01,barneha02,Team.GOLDEN_STATE_WARRIORS,1/14/16,Location.HOME
201,couside01,rondora01,collida01,Team.SACRAMENTO_KINGS,1/14/16,Location.AWAY
202,jamesle01,irvinky01,smithjr01,Team.CLEVELAND_CAVALIERS,1/14/16,Location.AWAY
203,haywago01,hoodro01,goberru01,Team.UTAH_JAZZ,1/14/16,Location.HOME
204,aldrila01,leonaka01,greenda02,Team.SAN_ANTONIO_SPURS,1/14/16,Location.HOME
205,barnema02,randoza01,allento01,Team.MEMPHIS_GRIZZLIES,1/14/16,Location.HOME
206,morrima03,caldwke01,drumman01,Team.DETROIT_PISTONS,1/14/16,Location.AWAY
207,walljo01,dudleja01,templga01,Team.WASHINGTON_WIZARDS,1/15/16,Location.AWAY
208,gasolpa01,butleji01,mcderdo01,Team.CHICAGO_BULLS,1/15/16,Location.HOME
209,denglu01,whiteha01,udrihbe01,Team.MIAMI_HEAT,1/15/16,Location.AWAY
210,walkeke02,willima02,batumni01,Team.CHARLOTTE_HORNETS,1/15/16,Location.AWAY
211,matthwe02,willide01,pachuza01,Team.DALLAS_MAVERICKS,1/15/16,Location.AWAY
212,duranke01,westbru01,ibakase01,Team.OKLAHOMA_CITY_THUNDER,1/15/16,Location.HOME
213,jamesle01,irvinky01,smithjr01,Team.CLEVELAND_CAVALIERS,1/15/16,Location.AWAY
214,cunnida01,holidjr01,davisan02,Team.NEW_ORLEANS_PELICANS,1/15/16,Location.HOME
215,georgpa01,ellismo01,hillge01,Team.INDIANA_PACERS,1/15/16,Location.HOME
216,lopezbr01,youngth01,bogdabo02,Team.BROOKLYN_NETS,1/15/16,Location.HOME
217,antetgi01,parkeja01,middlkh01,Team.MILWAUKEE_BUCKS,1/15/16,Location.HOME
218,knighbr03,tuckepj01,bookede01,Team.PHOENIX_SUNS,1/15/16,Location.AWAY
219,harriga01,mudiaem01,bartowi01,Team.DENVER_NUGGETS,1/15/16,Location.HOME
220,hardeja01,arizatr01,howardw01,Team.HOUSTON_ROCKETS,1/15/16,Location.HOME
221,wiggian01,townska01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/15/16,Location.AWAY
222,thomais02,turneev01,bradlav01,Team.BOSTON_CELTICS,1/15/16,Location.HOME
223,horfoal01,millspa01,korveky01,Team.ATLANTA_HAWKS,1/15/16,Location.AWAY
224,lillada01,mccolcj01,aminual01,Team.PORTLAND_TRAIL_BLAZERS,1/15/16,Location.AWAY
225,walljo01,dudleja01,gortama01,Team.WASHINGTON_WIZARDS,1/16/16,Location.HOME
226,smithis01,thompho01,covinro01,Team.PHILADELPHIA_76ERS,1/16/16,Location.HOME
227,walkeke02,willima02,batumni01,Team.CHARLOTTE_HORNETS,1/16/16,Location.HOME
228,gallola01,afflaar01,caldejo01,Team.NEW_YORK_KNICKS,1/16/16,Location.AWAY
229,clarkjo01,randlju01,russeda01,Team.LOS_ANGELES_LAKERS,1/16/16,Location.AWAY
230,greendr01,thompkl01,barneha02,Team.GOLDEN_STATE_WARRIORS,1/16/16,Location.AWAY
231,couside01,rondora01,collida01,Team.SACRAMENTO_KINGS,1/16/16,Location.AWAY
232,haywago01,hoodro01,goberru01,Team.UTAH_JAZZ,1/16/16,Location.HOME
233,redicjj01,crawfja01,aldrico01,Team.LOS_ANGELES_CLIPPERS,1/16/16,Location.HOME
234,lopezbr01,youngth01,bogdabo02,Team.BROOKLYN_NETS,1/16/16,Location.AWAY
235,antetgi01,parkeja01,middlkh01,Team.MILWAUKEE_BUCKS,1/16/16,Location.AWAY
236,thomais02,turneev01,bradlav01,Team.BOSTON_CELTICS,1/16/16,Location.AWAY
237,barnema02,randoza01,allento01,Team.MEMPHIS_GRIZZLIES,1/16/16,Location.HOME
238,morrima03,caldwke01,drumman01,Team.DETROIT_PISTONS,1/16/16,Location.HOME
239,horfoal01,millspa01,korveky01,Team.ATLANTA_HAWKS,1/16/16,Location.HOME
240,lillada01,mccolcj01,aminual01,Team.PORTLAND_TRAIL_BLAZERS,1/16/16,Location.AWAY
241,johnsty01,whiteha01,boshch01,Team.MIAMI_HEAT,1/17/16,Location.AWAY
242,clarkjo01,randlju01,russeda01,Team.LOS_ANGELES_LAKERS,1/17/16,Location.HOME
243,matthwe02,nowitdi01,feltora01,Team.DALLAS_MAVERICKS,1/17/16,Location.AWAY
244,duranke01,westbru01,ibakase01,Team.OKLAHOMA_CITY_THUNDER,1/17/16,Location.HOME
245,georgpa01,ellismo01,turnemy01,Team.INDIANA_PACERS,1/17/16,Location.AWAY
246,knighbr03,morrima02,tuckepj01,Team.PHOENIX_SUNS,1/17/16,Location.AWAY
247,aldrila01,leonaka01,greenda02,Team.SAN_ANTONIO_SPURS,1/17/16,Location.HOME
248,harriga01,mudiaem01,bartowi01,Team.DENVER_NUGGETS,1/17/16,Location.HOME
249,hardeja01,arizatr01,howardw01,Team.HOUSTON_ROCKETS,1/17/16,Location.AWAY
250,wiggian01,townska01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/17/16,Location.HOME
251,dudleja01,gortama01,walljo01,Team.WASHINGTON_WIZARDS,1/18/16,Location.HOME
252,gasolpa01,butleji01,mcderdo01,Team.CHICAGO_BULLS,1/18/16,Location.AWAY
253,smithis01,thompho01,covinro01,Team.PHILADELPHIA_76ERS,1/18/16,Location.AWAY
254,walkeke02,willima02,batumni01,Team.CHARLOTTE_HORNETS,1/18/16,Location.HOME
255,afflaar01,anthoca01,lopezro01,Team.NEW_YORK_KNICKS,1/18/16,Location.HOME
256,harrito02,vucevni01,paytoel01,Team.ORLANDO_MAGIC,1/18/16,Location.AWAY
257,matthwe02,nowitdi01,feltora01,Team.DALLAS_MAVERICKS,1/18/16,Location.HOME
258,lowryky01,derozde01,pattepa01,Team.TORONTO_RAPTORS,1/18/16,Location.HOME
259,greendr01,thompkl01,barneha02,Team.GOLDEN_STATE_WARRIORS,1/18/16,Location.AWAY
260,jamesle01,irvinky01,smithjr01,Team.CLEVELAND_CAVALIERS,1/18/16,Location.HOME
261,cunnida01,holidjr01,davisan02,Team.NEW_ORLEANS_PELICANS,1/18/16,Location.AWAY
262,haywago01,hoodro01,goberru01,Team.UTAH_JAZZ,1/18/16,Location.AWAY
263,jordade01,paulch01,crawfja01,Team.LOS_ANGELES_CLIPPERS,1/18/16,Location.HOME
264,lopezbr01,youngth01,bogdabo02,Team.BROOKLYN_NETS,1/18/16,Location.AWAY
