,p1,p2,p3,team,date,venue
254,holidjr01,hawessp01,holidjr01,Team.PHILADELPHIA_76ERS,1/18/2013,Location.HOME
255,cartevi01,kamanch01,cartevi01,Team.DALLAS_MAVERICKS,1/18/2013,Location.HOME
256,lawsoty01,koufoko01,lawsoty01,Team.DENVER_NUGGETS,1/18/2013,Location.HOME
257,thomais02,couside01,couside01,Team.SACRAMENTO_KINGS,1/18/2013,Location.AWAY
258,walljo01,okafoem01,walljo01,Team.WASHINGTON_WIZARDS,1/18/2013,Location.AWAY
259,robinna01,boozeca01,boozeca01,Team.CHICAGO_BULLS,1/18/2013,Location.AWAY
260,willide01,lopezbr01,willide01,Team.BROOKLYN_NETS,1/18/2013,Location.HOME
261,nelsoja01,vucevni01,nelsoja01,Team.ORLANDO_MAGIC,1/18/2013,Location.HOME
262,conlemi01,gasolma01,gasolma01,Team.MEMPHIS_GRIZZLIES,1/18/2013,Location.HOME
263,jackja01,ezelife01,jackja01,Team.GOLDEN_STATE_WARRIORS,1/18/2013,Location.AWAY
264,derozde01,johnsam01,derozde01,Team.TORONTO_RAPTORS,1/18/2013,Location.AWAY
265,piercpa01,garneke01,piercpa01,Team.BOSTON_CELTICS,1/18/2013,Location.HOME
266,parketo01,duncati01,parketo01,Team.SAN_ANTONIO_SPURS,1/18/2013,Location.HOME
267,duranke01,ibakase01,duranke01,Team.OKLAHOMA_CITY_THUNDER,1/18/2013,Location.AWAY
268,hillge01,hibbero01,georgpa01,Team.INDIANA_PACERS,1/18/2013,Location.HOME
269,hardeja01,asikom01,hardeja01,Team.HOUSTON_ROCKETS,1/18/2013,Location.AWAY
270,walkeke02,biyombi01,walkeke02,Team.CHARLOTTE_BOBCATS,1/18/2013,Location.AWAY
271,teaguje01,horfoal01,horfoal01,Team.ATLANTA_HAWKS,1/19/2013,Location.HOME
272,paulch01,jordade01,paulch01,Team.LOS_ANGELES_CLIPPERS,1/19/2013,Location.HOME
