,p1,p2,p3,team,date,venue
2757,Kentavious Caldwell-Pope,Julius Randle,Kyle Kuzma,Team.LOS_ANGELES_LAKERS,1/15/2018,Location.AWAY
2758,Dennis Schröder,Dewayne Dedmon,Taurean Waller-Prince,Team.ATLANTA_HAWKS,1/15/2018,Location.HOME
2759,LeBron James,Tristan Thompson,Kevin Love,Team.CLEVELAND_CAVALIERS,1/15/2018,Location.HOME
2760,Ish Smith,Andre Drummond,Tobias Harris,Team.DETROIT_PISTONS,1/15/2018,Location.HOME
2761,Victor Oladipo,Domantas Sabonis,Thaddeus Young,Team.INDIANA_PACERS,1/15/2018,Location.AWAY
2762,Chris Paul,Clint Capela,Trevor Ariza,Team.HOUSTON_ROCKETS,1/15/2018,Location.AWAY
2763,Lou Williams,Montrezl Harrell,Blake Griffin,Team.LOS_ANGELES_CLIPPERS,1/15/2018,Location.HOME
2764,Kevin Durant,David West,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,1/15/2018,Location.AWAY
2765,DeMar DeRozan,Jonas Valan?i?nas,Kyle Lowry,Team.TORONTO_RAPTORS,1/15/2018,Location.AWAY
2766,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Team.SAN_ANTONIO_SPURS,1/15/2018,Location.AWAY
2767,Spencer Dinwiddie,Jarrett Allen,Rondae Hollis-Jefferson,Team.BROOKLYN_NETS,1/15/2018,Location.HOME
2768,Tyreke Evans,Marc Gasol,Dillon Brooks,Team.MEMPHIS_GRIZZLIES,1/15/2018,Location.HOME
2769,Buddy Hield,Willie Cauley-Stein,Bogdan Bogdanovi?,Team.SACRAMENTO_KINGS,1/15/2018,Location.AWAY
2770,Donovan Mitchell,Derrick Favors,Ekpe Udoh,Team.UTAH_JAZZ,1/15/2018,Location.HOME
2771,Bradley Beal,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/17/2018,Location.AWAY
2772,Denzel Valentine,Lauri Markkanen,Bobby Portis,Team.CHICAGO_BULLS,1/17/2018,Location.HOME
2773,Jrue Holiday,Anthony Davis,DeMarcus Cousins,Team.NEW_ORLEANS_PELICANS,1/17/2018,Location.AWAY
2774,Giannis Antetokounmpo,John Henson,Khris Middleton,Team.MILWAUKEE_BUCKS,1/17/2018,Location.HOME
2775,Goran Dragi?,Kelly Olynyk,Josh Richardson,Team.MIAMI_HEAT,1/17/2018,Location.AWAY
2776,Russell Westbrook,Steven Adams,Paul George,Team.OKLAHOMA_CITY_THUNDER,1/17/2018,Location.HOME
2777,Kemba Walker,Dwight Howard,Jeremy Lamb,Team.CHARLOTTE_HORNETS,1/17/2018,Location.HOME
2778,Courtney Lee,Enes Kanter,Kristaps Porzi??is,Team.NEW_YORK_KNICKS,1/17/2018,Location.AWAY
2779,Kentavious Caldwell-Pope,Julius Randle,Kyle Kuzma,Team.LOS_ANGELES_LAKERS,1/17/2018,Location.AWAY
2780,Dennis Schröder,Dewayne Dedmon,Taurean Waller-Prince,Team.ATLANTA_HAWKS,1/17/2018,Location.HOME
2781,Ish Smith,Andre Drummond,Tobias Harris,Team.DETROIT_PISTONS,1/17/2018,Location.AWAY
2782,Milo? Teodosi?,Montrezl Harrell,Wesley Johnson,Team.LOS_ANGELES_CLIPPERS,1/17/2018,Location.HOME
2783,Kevin Durant,David West,Stephen Curry,Team.GOLDEN_STATE_WARRIORS,1/17/2018,Location.AWAY
2784,DeMar DeRozan,Jonas Valan?i?nas,Kyle Lowry,Team.TORONTO_RAPTORS,1/17/2018,Location.HOME
2785,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Team.SAN_ANTONIO_SPURS,1/17/2018,Location.AWAY
